depth,animal
1,manatees
8,striped basses
33,clownfish
39,moray eels
52,sea dragons
70,flounders
93,barracudas
104,orcas
122,pelagic stingrays
133,sea lions
150,white tip sharks
170,green sea turtles
219,wolf eels
233,chain catsharks
287,bottlenose dolphins
379,firefly squids
458,sea angels
477,chinook salmons
527,emperor penguins
549,swordfish
564,nautiluses
577,sunfish
640,japanese spider crabs
699,coelocanths
761,giant pacific octopuses
805,giant oarfish
831,monkfish
916,sperm whales
954,leatherback turtles
1040,anglerfish
1162,blobfish
1198,frilled sharks
1289,goblin sharks
1647,yeti crabs
1800,narwhals
2200,colossal squids
2389,elephant seals
2600,chimaeras
2904,vampire squids
3058,pelican eels
3398,cookie cutter sharks
3897,patagonian toothfish
3949,dumbo octopuses
4499,sea pigs
5098,faceless fish
5498,brittle stars
6801,grenadiers
6897,chitons
7216,comb jellies
8176,snailfish
